rating,title,year
9,Toy story,1995
5.6,Jumanji,1995
5.9,Grumpy Old Men,1993
5.6,Waiting to Exhale,1995
5.3,Father of the Bride Part II,1995
7.7,Heat,1995
7.4,Sabrina,1954
4.2,Tom and Huck,1995
5.2,Sudden Death,1995
6.8,GoldenEye,1995
7,The American President,1995
3,Dracula: Dead and Loving It,1995
5.8,Balto,1995
6.7,Nixon,1995
4.4,Cutthroat Island,1995
7.2,Casino,1995
7.9,Sense and Sensibility,1995
3.5,Four Rooms,1995
4.1,Ace Ventura: When Nature Calls,1995
4,Money Train,1995
7.7,Get Shorty,1995
6.6,Copycat,1995
4.3,Ninja Assassin,2009
5.2,Powder,1995
7.7,Leaving Las Vegas,1995
6.3,Othello,1995
4.7,Now and Then,1995
7.7,Persuasion,1995
7,La cité des enfants perdus,1995
6.8,Yao a yao yao dao waipo qiao,1995
4.7,Dangerous Minds,1995
0,Twelve Monkeys,1995
0,Wings of Courage,1995
8.2,Babe,1995
6.2,Carrington,1995
8.2,Dead Man Walking,1995
0,Across the Sea of Time,1995
3.9,It Takes Two,1995
0,Clueless,1995
7.2,"Cry, the Beloved Country",1995
8.1,Richard III,1995
5.7,Dead Presidents,1995
6.3,Restoration,1995
4.4,Mortal Kombat,1995
6.8,Live Free or Die Hard,2007
5.6,How to Make an American Quilt,1995
9.2,Shichinin no samurai,1954
6,Pocahontas,1995
5.7,When Night Is Falling,1995
7.5,The Usual Suspects,1995
6.7,Mighty Aphrodite,1995
8,Lamerica,1994
2.8,The Big Green,1995
3.8,Georgia Rule,2007
0,Kids of the Round Table,1997
6,Home for the Holidays,1995
7.9,Il postino,1994
0,Le confessionnal,1995
6.2,The Indian in the Cupboard,1995
0,Eye for an Eye,1996
6.7,Mr. Holland's Opus,1995
4.5,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996
3.9,Two If by Sea,1996
1.9,Bio-Dome,1996
2.8,Lawnmower Man 2: Beyond Cyberspace,1996
5,Two Bits,1995
6.1,Gazon maudit,1995
0,Friday,1995
6,From Dusk Till Dawn,1996
2.4,Fair Game,1995
5.1,Kicking & Screaming,2005
6.9,Les misérables,1998
5.3,Bed of Roses,1996
2.8,Big Bully,1996
4.7,Screamers,1995
7.1,Nico Icon,1995
6.5,The Crossing Guard,1995
4.4,The Juror,1996
6.8,Badkonake sefid,1995
4.9,Things to Do in Denver When You're Dead,1995
6.5,Antonia,1995
7.3,Once Upon a Time... When We Were Colored,1995
5.6,Last Summer in the Hamptons,1995
6.5,Angels and Insects,1995
5.8,White Squall,1996
3.8,Dunston Checks In,1996
6.4,Black Sheep,2006
4.6,Nick of Time,1995
6.2,The Journey of August King,1995
4.4,Mary Reilly,1996
3.6,Vampire in Brooklyn,1995
7,Beautiful Girls,1996
5.8,Broken Arrow,1996
7.3,In the Bleak Midwinter,1995
8,La haine,1995
5,Going Shopping,2005
7.5,Heidi Fleiss: Hollywood Madam,1995
6.1,City Hall,1996
6.6,Bottle Rocket,1996
3.1,Mr. Wrong,1996
4.4,Unforgettable,1996
5.5,Happy Gilmore,1996
7.2,The Bridges of Madison County,1995
6,Keiner liebt mich,1994
6.1,Muppet Treasure Island,1996
7,Braveheart,1995
8.7,Taxi Driver,1976
6.4,Hung fan kui,1995
4.8,Before and After,1996
6.9,Margaret's Museum,1995
0,Le bonheur est dans le pré,1995
7.8,Anne Frank Remembered,1995
7.1,The Young Poisoner's Handbook,1995
4,If Lucy Fell,1996
4.5,Steal Big Steal Little,1995
4.8,Race the Sun,1996
8.2,The Boys of St. Vincent,1992
4.8,Boomerang,1992
7.7,Chung Hing sam lam,1994
6.5,L'uomo delle stelle,1995
7.4,Flirting with Disaster,1996
0,The Neverending Story III,1994
0,Jupiter's Wife,1995
0,Pie in the Sky,1996
5.7,Angela's Ashes,1999
5.8,Frankie Starlight,1995
5.2,The Curse of the Jade Scorpion,2001
0,Sonic Outlaws,1995
3.8,Down Periscope,1996
7.6,From the Journals of Jean Seberg,1995
4.4,Man of the Year,2006
5.2,Hard Target,1993
5.1,Up Close & Personal,1996
6.7,The Birdcage,1996
7.1,The Brothers McMullen,1995
4.8,Bad Boys,1995
4.3,The Amazing Panda Adventure,1995
4.9,The Basketball Diaries,1995
5.4,An Awfully Big Adventure,1995
3.9,The Moguls,2005
8,Apollo 13,1995
6.3,Rob Roy,1995
3.1,Basic Instinct 2,2006
5.2,Batman Forever,1995
8.6,Belle de jour,1967
5.1,Beyond Rangoon,1995
5.5,Blue in the Face,1995
3.3,Canadian Bacon,1995
4.7,Casper,1995
6.5,Clockers,1995
3.6,Congo,1995
7.4,Crimson Tide,1995
8.3,Crumb,1994
6.3,Desperado,1995
7.3,Devil in a Blue Dress,1995
5.7,Die Hard: With a Vengeance,1995
4.9,The Doom Generation,1995
6.2,Feast of July,1995
5.2,First Knight,1995
4.6,Free Willy 2: The Adventure Home,1995
4.7,Hackers,1995
6.1,Jeffrey,1995
3.3,Johnny Mnemonic,1995
3.6,Judge Dredd,1995
2.1,Jury Duty,1995
5,Kids,1995
7.4,Living in Oblivion,1995
5.7,Lord of Illusions,1995
6.5,Love & Human Remains,1993
0,Mad Love,1995
5.4,Mallrats,1995
4.6,Mighty Morphin Power Rangers: The Movie,1995
4.6,Moonlight and Valentino,1995
6.9,Mute Witness,1994
0,Nadja,1994
5.1,The Net,1995
4.3,Nine Months,1995
6.3,Party Girl,1995
5.2,The Prophecy,1995
0,The Reckless Moment,1949
7.6,Fail-Safe,1964
3,The Scarlet Letter,1995
2.9,Showgirls,1995
7.8,Smoke,1995
5.3,Something to Talk About,1995
4.9,Species,1995
4.9,The Stars Fell on Henrietta,1995
6,Strange Days,1995
8.6,Les parapluies de Cherbourg,1964
2.8,The Tie That Binds,1995
4.4,Three Wishes,1995
4.9,Total Eclipse,1995
5,"To Wong Foo Thanks for Everything, Julie Newmar",1995
4.5,Under Siege 2: Dark Territory,1995
6.3,Unstrung Heroes,1995
6.7,Unzipped,1995
5.5,A Walk in the Clouds,1995
5.1,Waterworld,1995
4.5,White Man's Burden,1995
7.8,The Browning Version,1951
2.1,Bushwhacked,1995
7,Utomlyonnye solntsem,1994
7.5,Before the Rain,1994
8.2,Before Sunrise,1995
4.8,Billy Madison,1995
4.4,The Babysitters,2007
6,Boys on the Side,1995
5.5,The Cure,1995
5.4,Castle Freak,1995
6.5,Circle of Friends,1995
7.4,Clerks.,1994
5.8,Don Juan DeMarco,1994
5.7,Disclosure,1994
7.2,Tucker: The Man and His Dream,1988
4.1,Drop Zone,1994
2.7,Destiny Turns on the Radio,1995
7,Death and the Maiden,1994
6.8,Dolores Claiborne,1995
5.8,Dumb & Dumber,1994
7.4,Yin shi nan nu,1994
8.3,Exotica,1994
2.4,Exit to Eden,1994
7.9,Ed Wood,1994
5.7,French Kiss,1995
5.4,Forget Paris,1995
5.2,Far from Home: The Adventures of Yellow Dog,1995
5.7,A Goofy Movie,1995
3.5,Hideaway,1995
4,Fluke,1995
5.7,Farinelli,1994
6.3,Flash Gordon,1980
0,Gumby: The Movie,1995
5.6,The Glass Shield,1994
8.5,Hoop Dreams,1994
8.3,Heavenly Creatures,1994
3.4,Houseguest,1995
6,Immortal Beloved,1994
4.1,Heavy Weights,1995
4.7,The Hunted,2003
5.1,I.Q.,1994
5.8,Interview with the Vampire: The Vampire Chronicles,1994
4.9,Jefferson in Paris,1995
1.6,The Jerky Boys,1995
4.7,Junior,1994
4,Just Cause,1995
3.2,A Kid in King Arthur's Court,1995
6.4,Kiss of Death,1995
8.2,Star Wars,1977
0,Little Women,1994
8.4,A Little Princess,1995
7.2,Ladybird Ladybird,1994
7.9,L'enfer,1994
7.6,Como agua para chocolate,1992
0,Legends of the Fall,1994
4.6,Major Payne,1995
5.8,Little Odessa,1994
6.6,Mi vida loca,1993
4.8,Love Affair,1994
5.1,Losing Isaiah,1995
7.8,The Madness of King George,1994
8.5,Frankenstein,1931
3.3,Man of the House,2005
2.8,Mixed Nuts,1994
2.6,Milk Money,1994
8,Miracle on 34th Street,1947
6.1,Miami Rhapsody,1995
7.2,My Family,1995
5.5,Murder in the First,1995
0,Nobody's Fool,1986
5,Nell,1994
6.5,New Jersey Drive,1995
0,Nyû Yôku no koppu,1993
0,Beyond Bedlam,1994
0,Nemesis 2: Nebula,1995
5.2,Nina Takes a Lover,1994
6,Natural Born Killers,1994
5.5,Only You,1994
7.7,Once Were Warriors,1994
3.8,Poison Ivy II,1996
5.6,Outbreak,1995
6.8,Léon,1994
6.3,The Perez Family,1995
3.4,A Pyromaniac's Love Story,1995
8.9,Pulp Fiction,1994
3.5,The Pink Panther 2,2009
0,Tui shou,1992
7.2,Priest,1994
8.1,Quiz Show,1994
6.8,Picture Bride,1994
5.9,La reine Margot,1994
5.9,The Quick and the Dead,1995
5.1,Roommates,1995
4.8,Prêt-à-Porter,1994
8.5,Trois couleurs: Rouge,1994
8.4,Trois couleurs: Bleu,1993
7.5,Trzy kolory: Bialy,1994
0,Pao Da Shuang Deng,1994
0,Rent-a-Kid,1995
4.6,Stuart Saves His Family,1995
5.3,The Swan Princess,1994
7.8,The Secret of Roan Inish,1994
3.1,The Specialist,1994
5.2,Stargate,1994
4.1,Santa Claus,1985
8,The Shawshank Redemption,1994
6.4,Shallow Grave,1994
6.2,Suture,1993
6.6,Fresa y chocolate,1994
6.3,Swimming with Sharks,1994
6.5,The Sum of Us,1994
2.6,Senior Trip,1995
8.1,Huozhe,1994
4.9,Tank Girl,1995
4,Tales from the Crypt: Demon Knight,1995
5.5,Star Trek: Generations,1994
4.3,Tales from the Hood,1995
4.8,Tom & Viv,1994
4,Village of the Damned,1995
5.2,Tommy Boy,1995
7.6,Vanya on 42nd Street,1994
5.7,Underneath,1995
0,Incubo sulla città contaminata,1980
7.3,What's Eating Gilbert Grape,1993
4.3,Virtuosity,1995
6.5,While You Were Sleeping,1995
0,War,2007
7,Double Happiness,1994
7.1,Muriel's Wedding,1994
6,The Baby-Sitters Club,1995
4.6,Ace Ventura: Pet Detective,1994
7,"The Adventures of Priscilla, Queen of the Desert",1994
6.2,Backbeat,1994
6.2,Bitter Moon,1992
7.9,Bullets Over Broadway,1994
6.8,Clear and Present Danger,1994
6.1,The Client,1994
5.2,"Corrina, Corrina",1994
6.6,Crooklyn,1994
7,The Crow,1994
6.2,Cobb,1994
3.7,The Flintstones,1994
6.9,Forrest Gump,1994
7.5,Four Weddings and a Funeral,1994
5.3,Higher Learning,1995
7.4,I Like It Like That,1994
6.2,It Could Happen to You,1994
7.3,The Jungle Book,1967
7.6,Die Macht der Bilder: Leni Riefenstahl,1993
8,The Lion King,1994
5.8,Little Buddha,1993
6.6,New Nightmare,1994
6.4,The Mask,1994
6,Maverick,1994
6.3,Mrs. Parker and the Vicious Circle,1994
5.6,Naked Gun 33 1/3: The Final Insult,1994
6.7,The Paper,1994
6,Reality Bites,1994
7.5,Red Rock West,1993
4.2,Ri¢hie Ri¢h,1994
5.8,Safe Passage,1994
5.8,The River Wild,1994
7.6,Speed,1994
3.9,Speechless,1994
5.3,Timecop,1994
6.4,True Lies,1994
6.5,When a Man Loves a Woman,1994
5.9,Wolf,1994
5.3,Wyatt Earp,1994
3.9,Bad Company,2002
7,A Man of No Importance,1994
3.2,S.F.W.,1994
3.6,A Low Down Dirty Shame,1994
6.3,This Boy's Life,1993
7.1,Le colonel Chabert,1994
6.9,"Faster, Pussycat! Kill! Kill!",1965
6,Jason's Lyric,1994
6.3,The Secret Adventures of Tom Thumb,1993
2.9,Street Fighter,1994
8.3,In Cold Blood,1967
4.3,Desert Winds,1995
0,Fall Time,1995
6.9,Cape Fear,1991
7.3,Frank and Ollie,1995
0,Mirage,1965
5.4,Open Season,2006
0,Brother Minister: The Assassination of Malcolm X,1994
0,Highlander III: The Sorcerer,1994
6.4,Federal Hill,1994
5,In the Mouth of Madness,1995
5.2,8 Seconds,1994
5.4,Above the Rim,1994
6.3,Addams Family Values,1993
4.2,Airheads,1994
4,The Air Up There,1994
3.9,Another Stakeout,1993
3.5,Bad Girls,1994
6.9,Vicky Cristina Barcelona,2008
3.6,The Beverly Hillbillies,1993
3.3,Beverly Hills Cop III,1994
0,Black Beauty,1994
4.8,Blown Away,1994
5.1,Blue Chips,1994
6.3,Blue Sky,1994
8.9,Invasion of the Body Snatchers,1956
3.7,Boxing Helena,1993
7.4,A Bronx Tale,1993
4.9,Cabin Boy,1994
6.5,Calendar Girls,2003
6.8,Carlito's Way,1993
3.6,City Slickers II: The Legend of Curly's Gold,1994
4.1,Clean Slate,1994
6.3,Cliffhanger,1993
4.5,Coneheads,1993
3.9,Color of Night,1994
3.5,Cops and Robbersons,1994
4.2,The Cowboy Way,1994
7.4,Dave,1993
7.9,Dazed and Confused,1993
5.6,Demolition Man,1993
5.8,The Endless Summer 2,1994
3.2,Even Cowgirls Get the Blues,1993
4.2,Fatal Instinct,1993
7.4,Ba wang bie ji,1993
4.9,The Favor,1994
0,Huo Yuan Jia,2006
7,Fear of a Black Hat,1994
4,With Honors,1994
6.1,Flesh and Bone,1993
7.1,Widows' Peak,1994
6.2,The Firm,1993
5.5,Free Willy,1993
7.5,Fresh,1994
7.6,The Fugitive,1993
6.2,Geronimo: An American Legend,1993
5.8,A Perfect Getaway,2009
3.3,Getting Even with Dad,1994
6.6,Go Fish,1994
4.4,A Good Man in Africa,1994
5.2,Guilty as Sin,1993
5.2,Hard Target,1993
5.2,Heaven & Earth,1993
5.6,Hot Shots! Part Deux,1993
4.4,Live Nude Girls,1995
5.8,The Englishman Who Went Up a Hill But Came Down a Mountain,1995
5.4,The House of the Spirits,1993
2.7,House Party 3,1994
6.2,The Hudsucker Proxy,1994
5.2,I'll Do Anything,1994
2.2,In the Army Now,1994
7.6,In the Line of Fire,1993
7.6,In the Name of the Father,1993
5,The Inkwell,1994
7.5,What's Love Got to Do with It,1993
4.1,Jimmy Hollywood,1994
4.2,Judgment Night,1993
7.2,Jurassic Park,1993
6.2,Kalifornia,1993
5.1,Killing Zoe,1993
7.9,King of the Hill,1993
6.8,Lassie,1994
4.9,Last Action Hero,1993
3.9,Life with Mikey,1993
3.4,Lightning Jack,1994
0,M. Butterfly,1993
3.9,Made in America,1993
5.8,Malice,1993
5.7,The Man Without a Face,1993
6.9,Manhattan Murder Mystery,1993
7.4,Menace II Society,1993
6,Executive Decision,1996
7.5,Ai no korîda,1976
7,What Happened Was...,1994
7.1,Much Ado About Nothing,1993
5.2,Mr. Jones,1993
5.9,Mr. Wonderful,1993
5.7,Mrs. Doubtfire,1993
8,Naked,1993
3.6,The Next Karate Kid,1994
6,The New Age,1994
5.1,No Escape,1994
3,North,1994
6.2,Orlando,1992
7.2,A Perfect World,1993
6.5,Philadelphia,1993
8,The Piano,1993
4.6,Poetic Justice,1993
5,The Program,1993
4.9,The Puppet Masters,1994
4,Radioland Murders,1994
6.6,The Ref,1994
8.4,The Remains of the Day,1993
4.4,Renaissance Man,1994
5.1,Rising Sun,1993
4.9,The Road to Wellville,1994
3.1,RoboCop 3,1993
5.1,Robin Hood: Men in Tights,1993
4.5,Romeo Is Bleeding,1993
6.2,Romper Stomper,1992
7.8,Ruby in Paradise,1993
6.8,Rudy,1993
6.5,The Saint of Fort Washington,1993
0,Les nuits fauves,1992
8.8,Schindler's List,1993
5.1,The Last Boy Scout,1991
8.1,Searching for Bobby Fischer,1993
5,Second Best,2004
8.1,The Secret Garden,1993
5.8,Serial Mom,1994
7.5,Kagemusha,1980
8,Shadowlands,1993
7.8,Short Cuts,1993
5.5,A Simple Twist of Fate,1994
0,Sairen,2006
7.1,Six Degrees of Separation,1993
6.5,Sleepless in Seattle,1993
3.6,Sliver,1993
0,Blade Runner,1982
3.8,Son in Law,1993
5.3,So I Married an Axe Murderer,1993
3.6,Striking Distance,1993
0,Harem suaré,1999
4.3,Surviving the Game,1994
3.6,Terminal Velocity,1994
8,Thirty Two Short Films About Glenn Gould,1993
4.4,Threesome,1994
8.2,The Nightmare Before Christmas,1993
4.8,The Three Musketeers,1993
6.4,Tombstone,1993
7.5,True Romance,1993
9,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964
4.6,The Pagemaster,1994
6.8,2 Days in Paris,2007
0,"The Beans of Egypt, Maine",1994
0,Killer Movie,2008
7.9,Welcome to the Dollhouse,1995
6.9,Germinal,1993
6.7,Chugyeogja,2008
7.3,Cronos,1993
6.1,Naked in New York,1993
5.7,Kika,1993
7.4,Bhaji on the Beach,1993
5.2,Little Big League,1994
6.9,Kådisbellan,1993
6,Wide-Eyed and Legless,1993
0,Foreign Student,1994
6.2,Io speriamo che me la cavo,1992
7.2,Spanking the Monkey,1994
3.8,The Little Rascals,1994
5.3,Andre,1994
5.9,La scorta,1993
5.7,Princess Caraboo,1994
7.8,The Celluloid Closet,1995
5.9,Métisse,1993
6.7,Caro diario,1993
5.7,The Brady Bunch Movie,1995
5,Home Alone,1990
6.8,Ghost,1990
8.4,Terminator 2: Judgment Day,1991
7,Dances with Wolves,1990
6.2,Batman,1966
8.5,The Silence of the Lambs,1991
0,Snow White and the Seven Dwarfs,1937
8,Beauty and the Beast,1991
9,Pinocchio,1940
5.7,Pretty Woman,1990
5.4,Okno v Parizh,1994
8.8,The Wild Bunch,1969
6.2,Love and a .45,1994
7.5,A Great Day in Harlem,1994
4.2,Bye Bye Love,1995
5.7,One Fine Day,1996
4.9,Candyman: Farewell to the Flesh,1995
8.4,Fargo,1996
5.7,Homeward Bound II: Lost in San Francisco,1996
5.7,Heavy Metal,1981
3.5,Hellraiser: Bloodline,1996
5,The Pallbearer,1996
0,Loaded,2008
0,Pane e cioccolata,1973
6.1,The AristoCats,1970
7,La flor de mi secreto,1995
3.6,Two Much,1995
0,Cerro Torre: Schrei aus Stein,1991
7.3,Ma saison préférée,1993
0,A Modern Affair,1995
0,Asfour Stah,1990
3.5,A Thin Line Between Love and Hate,1996
0,The Last Supper,1995
6.7,Primal Fear,1996
0,Rude Boy,1980
6,Carried Away,1996
0,All Dogs Go to Heaven 2,1996
7.8,Land and Freedom,1995
6.4,Denise Calls Up,1995
0,Theodore Rex,1995
6.3,A Family Thing,1996
0,Nina Frisk,2007
4.4,Sgt. Bilko,1996
6,Jack & Sarah,1995
4.6,Girl 6,1996
3.8,Diabolique,1996
3.2,Un indien dans la ville,1994
